SELECT * FROM worldfood;
1	"Australia"	31.9	0.43
2	"Brazil"	7.9	13.08
3	"China"	136.9	213.78
4	"Ethiopia"	5.2	0.4
5	"India"	109.6	196.56
6	"Iran"	10.1	1.8
7	"Pakistan"	27.5	13.98
8	"Ukraine"	32.2	0.09
9	"United States"	44.8	8.8
